question_id,question,CDU / CSU,GRÜNE,SPD,AfD,DIE LINKE,FDP,Die PARTEI,FREIE WÄHLER,Tierschutzpartei,ÖDP,FAMILIE,Volt,PIRATEN,MERA25,HEIMAT,TIERSCHUTZ hier!,Partei für schulmedizinische Verjüngungsforschung,BIG,Bündnis C,PdH,MENSCHLICHE WELT,DKP,MLPD,SGP,ABG,dieBasis,BÜNDNIS DEUTSCHLAND,BSW,DAVA,KLIMALISTE,LETZTE GENERATION,PDV,PdF,V-Partei³
0,"""Die EU soll eigene Steuern erheben dürfen.""",-1,1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1
1,"""Fahrzeuge mit Verbrennungsmotoren sollen auch nach 2035 in der EU neu zugelassen werden können.""",1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,0,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,-1
2,"""Die EU soll eine eigene Seenotrettung im Mittelmeer aufbauen.""",-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,0,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1
3,"""Die Ukraine soll Mitglied der EU werden.""",1,1,1,-1,-1,1,0,1,1,0,1,1,1,0,-1,-1,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,1,0
4,"""Die EU soll vorrangig ökologische Landwirtschaft fördern.""",-1,1,-1,-1,1,-1,1,0,1,1,-1,1,1,1,1,1,0,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,1
5,"""In Deutschland soll der Euro durch eine nationale Währung ersetzt werden.""",-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,0,0,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1
6,"""Die EU soll den Mitgliedstaaten empfehlen, außer „weiblich“ und „männlich“ auch die Eintragung einer anderen Geschlechtsidentität im Pass zu ermöglichen.""",-1,1,1,-1,1,1,1,1,1,1,0,1,1,1,-1,-1,0,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,0,1,1
7,"""Die Jagd auf Wölfe soll in Regionen erlaubt sein, in denen der Bestand dadurch nicht gefährdet ist.""",1,-1,0,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,-1,0,1,1,0,-1,-1,-1,-1,-1,1,1,1,1,-1,0,1,0,-1
8,"""Beim Bau neuer Wohngebäude in der EU soll die Errichtung von Photovoltaikanlagen verpflichtend sein.""",-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,-1,0,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1
9,"""Mehr außenpolitische Entscheidungen der EU sollen mit Mehrheit statt einstimmig getroffen werden.""",1,1,1,-1,-1,1,1,1,1,1,1,1,1,0,-1,-1,0,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1
10,"""Der Flugzeugtreibstoff Kerosin soll für Flüge in der EU steuerfrei sein.""",1,-1,-1,1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1
11,"""Die gemeinsame europäische Polizeibehörde Europol soll weitere Befugnisse erhalten.""",1,1,1,-1,-1,1,-1,1,0,1,1,1,-1,-1,-1,-1,0,1,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,-1,1,1
12,"""Die EU soll länderübergreifende, mehrsprachige Angebote des öffentlich-rechtlichen Rundfunks stärker finanziell fördern.""",-1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,0,1,-1,1,0,1,1,1,-1,-1,-1,1,0,1,1,-1,0,1
